vowel,vowel_ethnicity,f11,f21,f31,f12,f22,f32,f13,f23,f33,f14,f24,f34,f15,f25,f35,participant,ethnicity,predicted_ethnicity
?,?_EA,-0.762662112,-0.08925741,0.617220762,-0.75517144,-0.101603246,0.618355192,-0.918568718,-0.208863425,0.622880087,-1.047841054,-0.287970241,0.624008119,-1.222194441,-0.343753933,0.612289973,1,EA,EA
?,?_EA,-0.599316456,-0.225421538,0.637816884,-0.589151185,-0.237800122,0.597735905,-0.600594412,-0.237800122,0.616842333,-0.589151185,-0.196835789,0.656907038,-0.617358183,-0.02610981,0.63484732,1,EA,W
æ,æ_EA,-0.511347683,0.096381746,0.640038285,-0.442432788,0.100830435,0.61305014,-0.394474743,0.116558975,0.581007252,-0.40809465,0.119675213,0.579829627,-0.415506013,0.114058974,0.611909672,1,EA,W
æ,æ_EA,-0.519568516,0.177697528,0.684168411,-0.445713272,0.16231261,0.664875208,-0.430495587,0.141221138,0.627009997,-0.467862571,0.140611939,0.663431164,-0.616058637,0.169442765,0.698223456,1,EA,EA
æ,æ_EA,-0.412322986,0.125878707,0.633731456,-0.40493509,0.112806626,0.620997202,-0.452306702,0.120297297,0.605805113,-0.521929793,0.163504505,0.630376374,-0.719977192,0.177697528,0.684875875,1,EA,EA
æ,æ_EA,-0.558034797,0.110297214,0.605422338,-0.601874002,0.104627908,0.589601055,-0.516037024,0.095107049,0.578257299,-0.535017427,0.084206011,0.598892643,-0.564181098,0.104627908,0.603506262,1,EA,W
æ,æ_EA,-0.604438106,0.193427535,0.622503793,-0.497410175,0.174757215,0.595418407,-0.480257096,0.166478043,0.60733475,-0.47799209,0.140611939,0.644834457,-0.605722628,0.174757215,0.697874477,1,EA,W
æ,æ_EA,-0.442432788,0.140002369,0.60695256,-0.401785481,0.146687292,0.627384599,-0.416569277,0.150314865,0.638187461,-0.488225266,0.15513125,0.660536806,-0.688768985,0.19919124,0.707945755,1,EA,EA
?,?_EA,-0.70709226,-0.125170715,0.621750781,-0.600594412,-0.095411275,0.681688339,-0.571606875,-0.032610374,0.694728171,-0.572849883,-0.022516561,0.693677199,-0.599316456,-0.006857878,0.687700735,1,EA,W
?,?_EA,-0.575340544,-0.091560674,0.665596449,-0.579088207,-0.099276761,0.656179501,-0.647723552,-0.049417492,0.663792371,-0.747736461,0.045423628,0.652168557,-1.107591058,0.126496945,0.671347723,1,EA,EA
?,?_EA,-0.673522675,-0.094639968,0.685582838,-0.603155233,-0.093869255,0.709671977,-0.576588205,-0.012523616,0.699618156,-0.661219034,0.086138379,0.69437797,-1.22696772,0.153929327,0.700662907,1,EA,EA
?,?_EA,-1.000957468,0.122161231,0.591932058,-0.970880013,0.020312027,0.601586507,-0.927394901,-0.048680844,0.663069828,-0.894261966,-0.135558343,0.670271875,-0.961663358,-0.212326632,0.694728171,1,EA,W
?,?_EA,-0.99905089,-0.003333024,0.588433513,-0.99146072,-0.086959439,0.629629269,-0.985805663,-0.176547688,0.656907038,-0.983927728,-0.225421538,0.689814156,-0.976451058,-0.287035225,0.724055786,1,EA,EA
